Description,Incursion Type,LAB,STID ,Zone,Northing,Easting,DH,Depth,Assay Type,COA,Sample Weight,Au,Pt,Pd,Rh,Ir,Os,Ru,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Cl,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,Dy,Er,Eu,Gd,Ho,Lu,Nd,Pr,Sm,Tb,Tm,Yb
,HY20,UofN,157963,1,3908655,457557,68,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0,0.63,0,0.63,0.06,0.06,0,0.23,84337.8,,,,4.79,0.17,,,54.4,5.42,48.11,2.77,11.13,,,,,0.69,,0.12,,25.96,,5674.05,305.22,3.4,,0.35,14.71,785.11,,,0,,2.25,2.08,2.65,,374.85,0.35,0.58,11.31,2877.41,0.81,2.25,52.03,5.77,13.79,43.09,10.21,3,1.62,0.98,3.81,0.52,0.06,6.17,6.17,4.27,0.52,0.06,1.44
,HY20,UofN,157963,1,3908655,457557,68,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0,0.63,0,0.63,0,0.12,0,0.23,84107.06,,,,2.6,0.17,,,54.4,5.65,47.25,2.88,9.98,,,,,0.75,,0.12,,26.31,,5733.47,305.34,3.69,,0.29,14.31,721.66,,,0,,2.19,2.94,3.98,,375.42,0.35,0.87,10.79,2891.25,0.75,2.19,52.96,5.65,13.67,42.11,10.73,2.88,1.67,0.87,3.81,0.52,0.06,6.06,6.06,4.1,0.46,0.06,1.56
,HY20,UofN,157963,1,3908655,457557,68,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0,0.67,0,0.83,0,0.11,0,0.11,72371.02,,,,3.39,0.17,,,52.86,4.78,42.52,2.56,7.23,,,,,0.5,,0.06,,25.18,,5025.39,269.36,3.17,,0.17,14.06,562.52,,,0,,1.61,1.78,1.95,,325.67,0.22,0.22,7.89,2441.27,0.61,2.06,43.13,5.06,13.17,30.96,6.06,2.56,1.5,0.78,3.45,0.44,0.06,5.95,5.95,3.56,0.44,0,1.45
,HY20,UofN,157963,1,3908655,457557,68,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0,0.39,0,0.83,0,0.06,0,0.11,73038.04,,,,3.72,0.11,,,52.81,4.67,46.19,2.45,6.61,,,,,0.33,,0.06,,25.51,,5008.72,272.25,3.34,,0.17,13.78,720.38,,,0,,1.22,1.67,3.39,,321.39,0.17,0.33,8.28,2483.52,0.5,2,44.47,4.78,12.78,31.68,6.06,2.83,1.39,0.78,3.34,0.44,0.06,6,6,4.11,0.44,0,1.45
,HY20,UofN,157963,1,3908655,457557,68,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0,0.44,0,0.83,0,0,0,0.11,70703.49,,,,3.72,0.11,,,53.25,4.56,43.91,2.22,5.95,,,,,0.39,,0.06,,25.74,,4799.72,261.19,3,,0.11,11.9,644.22,,,0,,1.28,1.45,4.45,,312.5,0.17,0.78,8.06,2386.8,0.44,2.17,41.52,4.45,12.84,26.68,5.95,2.78,1.45,0.78,3.78,0.44,0,6,6,3.89,0.44,0.06,1.33
,HY20,UofN,157695,1,3905915,456730,75,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0,1.15,0,1.88,0,0,0.07,0.14,83300.13,,,,4.98,0.07,,,54.09,5.05,43.85,3.39,4.62,,,,,0.29,,0,,30.8,,5338.42,303.63,3.89,,0,11.9,799.1,,,0,,1.01,5.7,5.48,,386.14,0.07,0.07,3.68,2650.46,0.14,1.59,60.65,3.17,18.54,15,9.88,3.39,1.8,1.15,4.26,0.65,0.29,6.71,6.71,4.69,0.58,0.29,1.73
,HY20,UofN,157695,1,3905915,456730,75,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0,1.23,0,1.88,0,0,0.22,0.14,83660.74,,,,3.97,0.07,,,54.74,5.05,43.56,3.53,4.11,,,,,0.43,,0,,31.81,,5330.49,303.2,3.82,,0,13.13,711.77,,,0,,1.01,6.49,2.16,,381.38,0.07,0,4.33,2565.36,0.14,1.51,60.73,3.25,18.9,13.92,10.46,3.32,1.73,1.15,4.33,0.72,0.29,6.92,6.92,4.69,0.58,0.29,1.88
,HY20,UofN,157695,1,3905915,456730,75,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0,1.37,0,2.31,0,0,0.07,0.14,82506.8,,,,3.32,0.07,,,62.89,4.98,43.49,3.25,4.62,,,,,0.36,,0,,36.2,,5308.13,297.72,3.75,,0,12.26,681.91,,,0,,0.94,6.56,5.41,,374.31,0.07,0.72,4.11,2597.09,0.14,1.51,60.73,3.1,22.72,12.55,10.53,3.82,1.95,1.3,4.33,0.72,0.29,7.79,7.79,5.41,0.65,0.29,1.8
,HY20,UofN,157695,1,3905915,456730,75,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0,0.51,0,0.9,0,0,0.06,0.13,85426.79,,,,3.4,0.06,,,58.15,4.88,34.21,3.47,3.59,,,,,0.45,,0,,32.6,,5318.15,316.03,3.21,,0,11.23,673.27,,,0,,1.09,5.97,1.54,,404.03,0.19,0.06,4.04,2502.47,0.19,1.54,46.53,3.21,19.32,24.33,13.54,3.27,1.99,1.22,4.3,0.71,0.32,7.38,7.38,5.2,0.64,0.26,1.93
,HY20,UofN,157695,1,3905915,456730,75,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0,1.22,0,1.09,0,0,0.06,0.19,87673.17,,,,2.63,0.06,,,58.47,5.13,35.62,3.59,4.24,,,,,0.58,,0,,32.99,,5492.09,321.55,2.7,,0,12.07,829.24,,,0,,1.28,5.39,11.3,,405.5,0.19,0,4.56,2556.39,0.26,1.54,48.14,3.4,19.32,25.42,15.08,3.47,1.99,1.22,4.36,0.71,0.32,7.32,7.32,5.07,0.58,0.26,1.86
,HY20,UofN,157695,1,3905915,456730,75,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0,0.58,0,1.54,0,0,0.06,0.19,90497.2,,,,2.63,0.06,,,57.44,5.07,38.06,3.72,5.46,,,,,0.71,,0,,32.48,,5674.37,334.33,3.14,,0,12,683.54,,,0,,1.16,5.13,5.07,,426.11,0.19,0.32,4.88,2666.14,0.19,1.54,50.51,3.66,19.19,26.06,16.3,3.53,1.86,1.09,4.36,0.64,0.32,7.25,7.25,5.26,0.58,0.26,1.93
,HY20,UofN,157696,1,3905915,456730,75,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.4,1.65,0,2.57,1.71,1.25,0.59,4.28,61200.68,,,,3.29,1.91,,,41.58,4.28,41.45,4.22,15.88,,,,,3.69,,0.79,,22.87,,3637.64,204.62,11.8,,2.7,16.28,455.63,,,1.58,,3.43,4.02,9.23,,291.74,1.85,2.17,2.5,1891.97,4.09,1.12,39.21,17.92,13.71,26.76,5.4,2.37,1.25,0.86,2.7,0.46,0.2,5.21,5.21,3.49,0.4,0.2,1.25
,HY20,UofN,157696,1,3905915,456730,75,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.33,1.65,0,2.64,0.92,0.46,0.59,4.09,59981.54,,,,3.76,0.92,,,41.25,4.09,41.38,3.29,4.42,,,,,2.9,,0.4,,22.87,,3726.61,206.53,7.18,,1.71,13.11,521.79,,,0.79,,2.11,5.54,3.62,,301.03,1.05,1.52,2.83,1857.04,2.37,1.19,38.81,10.81,14.1,16.74,4.94,2.31,1.19,0.79,2.97,0.46,0.2,5.01,5.01,3.69,0.4,0.2,1.12
,HY20,UofN,157696,1,3905915,456730,75,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.2,1.71,0,2.64,0.59,0.4,0.33,0.53,60528.5,,,,3.29,0.72,,,41.45,3.89,39.87,3.03,5.01,,,,,2.5,,0.33,,22.6,,3787.89,209.82,6.26,,1.38,12.78,533.39,,,0.59,,1.91,4.94,0.33,,303.27,0.92,0.4,2.9,1919.65,1.71,1.12,39.34,9.62,13.97,16.08,5.47,2.44,1.19,0.86,3.03,0.46,0.2,5.14,5.14,3.82,0.46,0.2,1.12
,HY20,UofN,157696,1,3905915,456730,75,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.19,1.39,0,1.96,0.24,0.14,0.24,0.24,85287.66,,,,1.77,0.33,,,59.9,4.64,48.38,3.2,6.6,,,,,1.67,,0.1,,33.61,,5019.73,280.48,3.97,,0.67,14.49,741.49,,,0.24,,1.53,6.02,3.3,,422.8,0.57,0.24,4.35,2578.71,0.81,1.63,45.23,6.65,18.69,19.17,6.36,3.01,1.67,1.15,4.25,0.62,0.24,7.03,7.03,4.88,0.62,0.29,1.67
,HY20,UofN,157696,1,3905915,456730,75,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0,1.29,0,2.25,0.19,0.14,0.33,0.24,87008.72,,,,2.34,0.29,,,60.38,4.88,45.7,3.3,6.98,,,,,1.77,,0.1,,33.32,,5201.4,284.74,3.63,,0.57,14.49,910.25,,,0.19,,1.48,6.31,2.44,,428.21,0.57,0.38,4.78,2679.58,0.72,1.67,45.56,6.6,18.45,20.65,7.08,3.25,1.86,1.24,4.11,0.62,0.24,7.22,7.22,4.78,0.57,0.29,1.63
,HY20,UofN,157696,1,3905915,456730,75,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0,1.34,0,1.86,0.14,0.14,0.38,0.24,85956.96,,,,3.06,0.24,,,57.46,4.88,49.77,3.25,24.24,,,,,1.96,,0.1,,31.7,,5120.13,280.91,3.73,,0.48,82.51,858.61,,,0.14,,1.43,6.74,2.68,,420.18,0.53,0,4.88,2635.6,0.62,1.58,45.13,5.88,17.88,29.35,8.32,3.11,1.63,1.2,3.73,0.62,0.24,6.84,6.84,4.73,0.57,0.24,1.48
,HY20,UofN,157697,1,3905915,456730,75,20,LMB Flux,Nexus_COA_Set_2.xlsx,,3.48,0.13,0,0.13,0.13,0.13,0.25,0.19,104786.12,,,,4.74,0.32,,,85.56,14.73,70.51,8.79,27.89,,,,,1.52,,0.13,,43.13,,22721.58,865.73,16.51,,0.44,33.71,1156,,,0.13,,2.4,16.88,7.72,,388.41,0.38,0.7,9.3,3937.23,0.38,2.59,104.22,6.7,24.41,96.12,11.95,4.43,2.4,1.45,5.88,0.82,0.32,9.23,9.23,6.51,0.82,0.32,2.15
,HY20,UofN,157697,1,3905915,456730,75,20,LMB Flux,Nexus_COA_Set_2.xlsx,,3.79,0.13,0,0.19,0.13,0.06,0.25,0.19,108390.71,,,,4.24,0.32,,,88.47,15.18,73.48,8.92,28.39,,,,,1.9,,0.13,,44.2,,23101.01,888.5,17.39,,0.38,34.34,1158.53,,,0.13,,2.47,18.02,1.71,,397.2,0.38,0.19,10.5,3939.12,0.32,2.66,105.8,6.45,25.23,89.86,15.11,4.3,2.47,1.33,6.01,0.89,0.32,9.8,9.8,6.58,0.76,0.38,2.09
,HY20,UofN,157697,1,3905915,456730,75,20,LMB Flux,Nexus_COA_Set_2.xlsx,,3.29,0.25,0,0.13,0.06,0.06,0.51,0.19,105102.31,,,,5,0.32,,,88.72,14.73,70.64,8.92,27.95,,,,,1.9,,0.06,,44.58,,22727.9,865.1,16.88,,0.32,32.06,1295.76,,,0.06,,2.28,20.62,2.91,,385.19,0.44,0.13,11.07,3847.43,0.19,2.72,102.45,6.64,25.36,87.27,15.81,4.49,2.34,1.39,5.5,0.82,0.32,9.8,9.8,6.51,0.82,0.38,2.34
,HY20,UofN,157697,1,3905915,456730,75,20,LMB Flux,Nexus_COA_Set_2.xlsx,,2.52,0.49,0,1.21,0.05,0.05,0.16,0.16,101654.8,,,,2.91,0.27,,,85.21,14.53,70.35,8.61,27.69,,,,,1.64,,0.11,,43.26,,22206.15,842.19,16.67,,0.22,32.35,1053.28,,,0.05,,2.14,18.59,2.25,,377.45,0.33,0.44,9.65,3739.95,0.16,2.63,111.58,5.26,25.28,84.11,13.54,4.44,2.47,1.37,5.76,0.93,0.33,9.38,9.38,6.63,0.82,0.33,2.14
,HY20,UofN,157697,1,3905915,456730,75,20,LMB Flux,Nexus_COA_Set_2.xlsx,,2.47,0.49,0,0.88,0.05,0,0.22,0.22,102203.1,,,,5.21,0.27,,,86.41,14.31,67.11,8.72,27.74,,,,,1.7,,0.05,,43.86,,22293.87,835.61,16.83,,0.16,32.79,1102.63,,,0.05,,2.25,19.63,8.44,,375.48,0.33,0.27,10.14,3699.38,0.11,2.63,110.81,5.15,25.72,84.11,14.86,4.5,2.41,1.43,5.54,0.82,0.38,9.49,9.49,6.74,0.77,0.38,2.25
,HY20,UofN,157697,1,3905915,456730,75,20,LMB Flux,Nexus_COA_Set_2.xlsx,,2.25,0.49,0,0.82,0.05,0.05,0.16,0.16,100064.74,,,,3.34,0.27,,,86.91,14.09,64.75,8.39,26.81,,,,,1.54,,0.05,,44.08,,21740.09,820.26,16.23,,0.16,31.47,1168.98,,,0.05,,2.14,17.27,0.71,,365.17,0.33,0.05,10.47,3651.68,0.11,2.52,108.78,4.93,25.39,84.66,14.97,4.44,2.41,1.48,5.76,0.88,0.33,9.43,9.43,6.58,0.77,0.38,2.3
,HY20,UofN,157799,1,3904711,457135,79,5,LMB Flux,Nexus_COA_Set_2.xlsx,,0.21,0.7,0,1.19,0,0,0.07,0.07,88232.69,,,,4,0.14,,,87.67,8.14,43.84,4.91,31,,,,,1.12,,0.07,,46.01,,11649.8,538.3,4.49,,0,17.53,757.48,,,0,,0.84,12.34,12.13,,427.84,0.21,0.28,7.08,2906.49,0,2.52,65.93,2.38,25.39,61.79,21.88,4.14,2.1,1.47,5.19,0.77,0.28,9.82,9.82,6.52,0.7,0.28,1.89
,HY20,UofN,157799,1,3904711,457135,79,5,LMB Flux,Nexus_COA_Set_2.xlsx,,0.28,0.63,0,1.19,0,0,0.07,0.14,85918.16,,,,4.21,0.21,,,130.74,8.28,39.77,4.77,27,,,,,1.19,,0,,52.53,,11250.02,520.56,4.49,,0,16.55,815,,,0,,0.84,12.84,12.41,,413.95,0.21,0.49,8.14,2823.03,0,2.6,64.25,2.03,25.67,55.48,22.51,4.35,2.1,1.47,5.61,0.84,0.28,10.31,10.31,6.87,0.84,0.35,2.1
,HY20,UofN,157799,1,3904711,457135,79,5,LMB Flux,Nexus_COA_Set_2.xlsx,,0.28,0.63,0,1.19,0,0,0.07,0.14,87531.31,,,,4.07,0.21,,,88.79,8.42,43.7,4.77,23.99,,,,,1.19,,0,,46.29,,11411.33,526.17,3.86,,0,15.92,777.82,,,0,,0.91,12.27,5.19,,421.52,0.21,0.56,8,2958.39,0,2.6,67.05,2.17,25.67,54.99,24.13,4.07,2.1,1.47,5.26,0.77,0.28,10.17,10.17,6.52,0.77,0.28,2.03
,HY20,UofN,157799,1,3904711,457135,79,5,LMB Flux,Nexus_COA_Set_2.xlsx,,0.16,0.43,0,0.86,0,0,0.05,0.38,80645.42,,,,2.16,0.16,,,89.88,7.77,35.25,4.43,26.45,,,,,1.03,,0,,47.39,,10509.81,487.11,3.78,,0,14.3,763.27,,,0,,0.59,10.53,8.04,,397.24,0.22,0.11,7.56,2679,0,2.48,61.21,1.84,24.83,47.07,23.32,4.05,2.21,1.46,5.4,0.76,0.32,10.15,10.15,6.05,0.76,0.32,2
,HY20,UofN,157799,1,3904711,457135,79,5,LMB Flux,Nexus_COA_Set_2.xlsx,,0.27,0.54,0,0.97,0,0,0.05,0.16,81563.07,,,,5.13,0.11,,,92.57,7.5,34.65,4.37,17.92,,,,,1.13,,0,,49.07,,10472.03,490.78,3.78,,0,13.39,717.39,,,0,,0.49,12.74,3.45,,396.1,0.22,0,8.37,2705.45,0,2.48,75.9,2,25.42,43.13,25.48,4.26,2.21,1.46,5.56,0.81,0.32,10.36,10.36,6.48,0.76,0.32,2.05
,HY20,UofN,157799,1,3904711,457135,79,5,LMB Flux,Nexus_COA_Set_2.xlsx,,0.32,0.43,0,0.97,0,0,0.05,0.16,81563.07,,,,3.67,0.11,,,92.04,7.29,32.98,4.48,18.19,,,,,1.08,,0,,48.8,,10553,484.84,3.89,,0,13.93,749.78,,,0,,0.49,12.36,11.66,,392.16,0.27,0,8.47,2676.31,0,2.59,61.16,1.89,25.69,44.26,26.67,4.21,2.27,1.51,5.56,0.81,0.38,10.26,10.26,6.53,0.76,0.32,2.11
,HY20,UofN,157646,1,3905535,456729,81,5,LMB Flux,Nexus_COA_Set_2.xlsx,,0.84,0.19,0,0.13,0,0,0.26,0.13,103560.12,,,,5.57,0.26,,,86.21,15.79,76.7,8.35,31.52,,,,,1.1,,0,,44.53,,23488.73,904.86,9.64,,0,38.12,1165.05,,,0,,2.01,15.99,4.92,,392.23,0.32,0.52,9.06,4034.31,0,2.2,112.36,4.66,24.72,93.79,18.71,4.6,2.33,1.42,5.95,0.84,0.39,9.58,9.58,6.86,0.84,0.39,2.27
,HY20,UofN,157646,1,3905535,456729,81,5,LMB Flux,Nexus_COA_Set_2.xlsx,,1.17,0.13,0,0.06,0,0,0.13,0.13,100582.76,,,,3.69,0.19,,,86.34,15.47,72.95,8.28,30.61,,,,,1.04,,0,,43.95,,22789.7,873.14,9.58,,0,36.96,1151.46,,,0,,2.07,17.35,6.02,,380.97,0.32,0.06,9.58,3897.1,0,2.33,108.61,4.53,24.21,89.51,19.61,4.6,2.27,1.49,5.7,0.84,0.32,9.51,9.51,6.73,0.78,0.39,2.27
,HY20,UofN,157646,1,3905535,456729,81,5,LMB Flux,Nexus_COA_Set_2.xlsx,,1.04,0.13,0,0.13,0,0,0.13,0.13,103495.39,,,,4.27,0.26,,,88.93,15.79,75.21,8.28,32.1,,,,,1.17,,0.06,,44.85,,23333.39,908.74,9.71,,0,38.38,1292.56,,,0,,2.14,19.61,11.2,,394.69,0.32,0,9.84,4082.21,0,2.39,110.81,4.85,25.37,96.18,20.45,4.72,2.52,1.42,6.02,0.91,0.32,9.9,9.9,7.18,0.78,0.39,2.33
,HY20,UofN,157646,1,3905535,456729,81,5,LMB Flux,Nexus_COA_Set_2.xlsx,,0.77,0.21,0,0.14,0,0,0.14,0.14,101332.82,,,,4.82,0.21,,,85.7,15.63,74.6,8.37,30.57,,,,,1.33,,0,,43.97,,22848.74,886.31,10.26,,0,36.29,1029.38,,,0,,2.72,18.42,3.35,,391.02,0.42,0.42,8.93,3977.94,0,2.44,145.02,4.82,24.5,95.82,23.03,4.33,2.51,1.54,6.14,0.91,0.35,9.7,9.7,6.63,0.84,0.35,2.44
,HY20,UofN,157646,1,3905535,456729,81,5,LMB Flux,Nexus_COA_Set_2.xlsx,,0.56,0.14,0,0.14,0,0,0.14,0.14,99308.95,,,,4.05,0.21,,,88.63,15.56,67.69,8.03,30.29,,,,,1.19,,0.07,,44.94,,22206.68,866.77,9.56,,0,36.64,1189.89,,,0,,2.65,18.42,4.82,,378.81,0.42,0,9.42,3811.15,0,2.51,138.18,4.61,25.89,87.86,23.1,4.47,2.3,1.54,5.93,0.84,0.35,9.98,9.98,6.63,0.91,0.35,2.37
,HY20,UofN,157646,1,3905535,456729,81,5,LMB Flux,Nexus_COA_Set_2.xlsx,,0.28,0.42,0,2.23,0,0,0.07,0.14,100076.62,,,,3.98,0.28,,,94.21,15.56,69.65,8.3,30.22,,,,,1.26,,0,,47.87,,22443.96,873.05,9.07,,0,36.85,1257.59,,,0,,2.58,16.89,3.49,,379.37,0.42,0.35,8.3,3918.62,0,2.23,138.04,4.68,27.71,86.61,24.43,5.16,2.65,1.61,6,0.91,0.35,10.47,10.47,7.47,0.91,0.35,2.16
,HY20,UofN,157647,1,3905535,456729,81,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0.54,0.14,0,0.2,0,0,0.2,0.07,80225.92,,,,4.35,0,,,66.56,12.78,65.88,6.25,33.79,,,,,20.8,,0,,34.33,,26630.93,787.98,14.41,,0.07,36.31,8314.94,,,0,,1.7,11.35,4.49,,1694.94,0.48,0.82,6.66,3436.8,0,5.17,98.04,5.37,19.31,104.84,98.58,3.54,1.97,1.16,4.28,0.61,0.27,7.41,7.41,5.1,0.61,0.27,1.9
,HY20,UofN,157647,1,3905535,456729,81,10,LMB Flux,Nexus_COA_Set_2.xlsx,,4.15,0.2,3.26,0.07,0,0,0.27,0.07,80157.94,,,,2.79,0,,,67.99,12.31,63.3,6.19,24.68,,,,,0.27,,0.07,,34.54,,21864.96,770.3,13.33,,0,30.93,1100.73,,,0,,1.63,11.49,0,,1680.67,0.34,0,7.34,3514.3,0,5.17,97.29,5.17,19.78,72.07,9.25,3.67,1.97,1.29,4.22,0.75,0.34,7.41,7.41,5.3,0.68,0.27,1.9
,HY20,UofN,157647,1,3905535,456729,81,10,LMB Flux,Nexus_COA_Set_2.xlsx,,1.29,0.34,0,0.14,0,0,0.14,0.14,80157.94,,,,3.88,0,,,65.54,12.31,62.21,6.05,24.68,,,,,0.2,,0,,34.06,,21796.98,753.99,12.78,,0,30.59,928.04,,,0,,1.63,14.01,0,,1639.19,0.27,0,7.07,3378.33,0,5.37,96,5.17,19.17,71.8,9.65,3.6,1.7,1.29,4.28,0.68,0.27,7.21,7.21,4.62,0.61,0.27,1.77
,HY20,UofN,157647,1,3905535,456729,81,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0.52,0.22,0,0.15,0,0,0.15,0.07,81691.84,,,,4.35,0.07,,,66.12,12.77,61.62,6.42,22.95,,,,,0.15,,0,,34.17,,22153.47,774.85,13.36,,0,28.34,930.56,,,0,,1.48,11.29,4.06,,1672.95,0.15,0.15,6.49,3517.84,0,5.24,99.85,5.24,18.52,73.06,9.15,3.39,1.92,1.18,3.98,0.74,0.3,7.67,7.67,5.24,0.66,0.3,1.92
,HY20,UofN,157647,1,3905535,456729,81,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0.44,0.22,0,0.59,0,0,0.22,0.07,79846.95,,,,5.02,0.07,,,63.91,11.73,63.02,6.35,22.95,,,,,0.22,,0,,32.62,,21887.8,753.45,13.5,,0,27.16,994.77,,,0,,1.25,12.32,3.03,,1638.26,0.22,0.37,6.79,3450.69,0,5.31,96.3,5.02,18.38,63.46,10.41,3.62,1.99,1.25,4.13,0.66,0.3,7.01,7.01,5.39,0.59,0.22,1.77
,HY20,UofN,157647,1,3905535,456729,81,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0.59,8.63,0,0.15,0,0,0.15,0.07,80363.52,,,,6.13,0.07,,,65.24,11.88,63.24,6.27,21.77,,,,,0.3,,0,,33.5,,21769.73,753.45,13.14,,0,26.27,1109.15,,,0,,1.4,13.14,0.52,,1624.24,0.15,0.44,6.86,3419.69,0,5.17,96.45,5.24,18.38,61.32,11.51,3.62,1.77,1.11,4.21,0.74,0.3,7.16,7.16,4.87,0.59,0.3,1.77
,HY20,UofN,157648,1,3905535,456729,81,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.26,0.26,0,0.13,0,0,0.26,0.07,78696.27,,,,2.71,0,,,62.89,12.1,61.44,6.41,19.57,,,,,0.53,,0.07,,32.93,,24356.16,712.9,12.5,,0,28.57,1061.41,,,0,,1.92,10.51,5.62,,1905.9,0.26,0,6.15,3586.96,0,5.82,108.79,6.28,18.05,68.91,13.36,3.44,1.98,1.12,3.64,0.66,0.26,7.08,7.08,4.83,0.53,0.26,1.79
,HY20,UofN,157648,1,3905535,456729,81,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.33,0.26,0,0.07,0,0,0.2,0,78497.88,,,,4.63,0,,,66.07,11.71,55.88,6.22,19.51,,,,,0.6,,0,,33.79,,24124.71,708.93,11.9,,0,28.3,1018.42,,,0,,1.65,13.23,0.2,,1872.18,0.26,0,6.88,3512.23,0,5.95,106.54,6.48,19.18,66.79,15.54,3.64,2.05,1.06,4.63,0.73,0.26,7.14,7.14,4.89,0.53,0.26,1.79
,HY20,UofN,157648,1,3905535,456729,81,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.26,0.13,0,0.86,0,0,0.13,0.07,78034.96,,,,3.77,0,,,65.6,11.97,58.53,6.22,19.11,,,,,0.73,,0,,33.2,,24045.35,706.28,12.3,,0,27.31,989.99,,,0,,1.59,12.5,5.22,,1879.45,0.26,0.6,6.94,3528.11,0,5.62,107.6,6.61,19.31,65.8,16.8,3.5,2.12,1.12,4.36,0.66,0.26,7.27,7.27,4.89,0.66,0.26,1.98
,HY20,UofN,157648,1,3905535,456729,81,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.33,0.26,0,0.07,0,0,0.2,0.07,77386.72,,,,3.71,0.07,,,64.36,11.99,59.21,6.45,20.45,,,,,0.52,,0,,32.37,,24036.79,704.82,12.64,,0,28.4,1100.87,,,0,,1.3,11.66,0.85,,1878,0.2,0.2,6.19,3489.57,0,5.6,104.49,5.67,17.98,68.98,14.66,3.58,2.08,1.11,4.36,0.65,0.26,7.04,7.04,5.02,0.59,0.26,1.82
,HY20,UofN,157648,1,3905535,456729,81,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.2,0.26,0,0.13,0,0,0.26,0.07,76865.6,,,,4.62,0.07,,,64.81,11.53,58.11,6.32,19.93,,,,,0.65,,0,,32.96,,23652.46,689.18,12.05,,0,26.06,935.42,,,0,,1.43,14.85,4.17,,1853.24,0.2,0.26,6.84,3452.44,0,5.86,102.27,5.73,18.37,66.9,16.29,3.58,2.02,1.04,4.43,0.72,0.33,7.1,7.1,5.21,0.59,0.26,1.82
,HY20,UofN,157648,1,3905535,456729,81,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.26,0.2,0,0.07,0,0,0.2,0.07,77712.43,,,,3.32,0.07,,,64.29,11.92,62.34,6.32,20.45,,,,,0.72,,0,,33.09,,24030.27,700.26,12.25,,0,26.97,982.32,,,0,,1.3,13.61,2.8,,1883.21,0.2,0.07,6.97,3518.88,0,5.86,103.7,5.99,18.3,68.27,17.07,3.45,1.95,1.11,4.62,0.72,0.26,7.3,7.3,5.15,0.59,0.26,1.69
,HY20,UofN,157649,1,3905535,456729,81,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0.33,0.2,0,0.07,0,0,0.13,0.13,73752.2,,,,2.47,0,,,67.33,10.7,53.36,5.75,16.45,,,,,0.87,,0,,34.7,,22359.69,618.3,11.7,,0,22.93,869.91,,,0,,1.54,12.37,0.33,,2161.08,0.2,0,6.62,3130.62,0,6.22,95.62,5.88,18.66,59.44,19.19,3.28,2.07,1.14,4.41,0.67,0.27,7.42,7.42,4.88,0.6,0.27,1.74
,HY20,UofN,157649,1,3905535,456729,81,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0.2,0.13,0,0.07,0,0,0.13,0.07,75758.15,,,,2.88,0,,,66.13,11.7,57.24,5.75,19.26,,,,,1.07,,0,,34.44,,23081.83,640.97,12.3,,0,23.67,845.84,,,0,,1.47,11.43,0.6,,2205.21,0.2,0.47,7.09,3285.08,0,5.88,96.95,5.95,17.99,61.85,22.67,3.48,1.94,1,4.28,0.67,0.27,7.09,7.09,5.28,0.6,0.27,1.67
,HY20,UofN,157649,1,3905535,456729,81,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0.2,0.2,0,0,0,0,0.13,0.07,76761.13,,,,2.47,0.07,,,65.59,11.5,56.9,5.88,19.93,,,,,1.14,,0,,33.17,,23576.63,632.94,12.44,,0,24.21,946.14,,,0,,1.4,9.9,4.08,,2179.8,0.2,0,7.02,3249.64,0,5.88,97.22,6.08,18.32,59.84,22.4,3.21,1.87,1.07,4.35,0.6,0.27,7.22,7.22,5.15,0.6,0.27,1.74
